cp,city,age,year,total
50027,Ambel,10 años,2016,0.0
50027,Ambel,11 años,2016,3
50027,Ambel,12 años,2016,1
50027,Ambel,13 años,2016,0.0
50027,Ambel,14 años,2016,1
50027,Ambel,15 años,2016,4
50027,Ambel,16 años,2016,0.0
50027,Ambel,17 años,2016,3
50027,Ambel,18 años,2016,0.0
50028,Anento,0 años,2016,0.0
50028,Anento,1 año,2016,0.0
50028,Anento,2 años,2016,1
50028,Anento,3 años,2016,0.0
50028,Anento,4 años,2016,0.0
50028,Anento,5 años,2016,0.0
50028,Anento,6 años,2016,2
50028,Anento,7 años,2016,0.0
50028,Anento,8 años,2016,0.0
50028,Anento,9 años,2016,0.0
50028,Anento,10 años,2016,1
50028,Anento,11 años,2016,1
50028,Anento,12 años,2016,4
50028,Anento,13 años,2016,1
50028,Anento,14 años,2016,1
50028,Anento,15 años,2016,0.0
50028,Anento,16 años,2016,0.0
50028,Anento,17 años,2016,0.0
50028,Anento,18 años,2016,0.0
50029,Aniñón,0 años,2016,4
50029,Aniñón,1 año,2016,2
50029,Aniñón,2 años,2016,4
50029,Aniñón,3 años,2016,4
50029,Aniñón,4 años,2016,5
50029,Aniñón,5 años,2016,2
50029,Aniñón,6 años,2016,4
50029,Aniñón,7 años,2016,1
50029,Aniñón,8 años,2016,6
50029,Aniñón,9 años,2016,1
50029,Aniñón,10 años,2016,5
50029,Aniñón,11 años,2016,4
50029,Aniñón,12 años,2016,8
50029,Aniñón,13 años,2016,5
50029,Aniñón,14 años,2016,3
50029,Aniñón,15 años,2016,8
50029,Aniñón,16 años,2016,5
50029,Aniñón,17 años,2016,9
50029,Aniñón,18 años,2016,8
50030,Añón de Moncayo,0 años,2016,0.0
50030,Añón de Moncayo,1 año,2016,0.0
50030,Añón de Moncayo,2 años,2016,1
50030,Añón de Moncayo,3 años,2016,0.0
50030,Añón de Moncayo,4 años,2016,2
50030,Añón de Moncayo,5 años,2016,0.0
50030,Añón de Moncayo,6 años,2016,0.0
50030,Añón de Moncayo,7 años,2016,0.0
50030,Añón de Moncayo,8 años,2016,1
50030,Añón de Moncayo,9 años,2016,1
50030,Añón de Moncayo,10 años,2016,0.0
50030,Añón de Moncayo,11 años,2016,0.0
50030,Añón de Moncayo,12 años,2016,0.0
50030,Añón de Moncayo,13 años,2016,0.0
50030,Añón de Moncayo,14 años,2016,1
50030,Añón de Moncayo,15 años,2016,0.0
50030,Añón de Moncayo,16 años,2016,1
50030,Añón de Moncayo,17 años,2016,0.0
50030,Añón de Moncayo,18 años,2016,0.0
50031,Aranda de Moncayo,0 años,2016,1
50031,Aranda de Moncayo,1 año,2016,1
50031,Aranda de Moncayo,2 años,2016,2
50031,Aranda de Moncayo,3 años,2016,0.0
50031,Aranda de Moncayo,4 años,2016,0.0
50031,Aranda de Moncayo,5 años,2016,1
50031,Aranda de Moncayo,6 años,2016,0.0
50031,Aranda de Moncayo,7 años,2016,1
50031,Aranda de Moncayo,8 años,2016,0.0
50031,Aranda de Moncayo,9 años,2016,0.0
50031,Aranda de Moncayo,10 años,2016,1
50031,Aranda de Moncayo,11 años,2016,2
50031,Aranda de Moncayo,12 años,2016,1
50031,Aranda de Moncayo,13 años,2016,0.0
50031,Aranda de Moncayo,14 años,2016,0.0
50031,Aranda de Moncayo,15 años,2016,1
50031,Aranda de Moncayo,16 años,2016,0.0
50031,Aranda de Moncayo,17 años,2016,2
50031,Aranda de Moncayo,18 años,2016,2
50032,Arándiga,0 años,2016,2
50032,Arándiga,1 año,2016,1
50032,Arándiga,2 años,2016,1
50032,Arándiga,3 años,2016,1
50032,Arándiga,4 años,2016,1
50032,Arándiga,5 años,2016,0.0
50032,Arándiga,6 años,2016,1
50032,Arándiga,7 años,2016,2
50032,Arándiga,8 años,2016,0.0
50032,Arándiga,9 años,2016,2
50032,Arándiga,10 años,2016,0.0
50032,Arándiga,11 años,2016,2
50032,Arándiga,12 años,2016,1
50032,Arándiga,13 años,2016,1
50032,Arándiga,14 años,2016,5
50032,Arándiga,15 años,2016,1
50032,Arándiga,16 años,2016,2
50032,Arándiga,17 años,2016,0.0
50032,Arándiga,18 años,2016,0.0
50033,Ardisa,0 años,2016,0.0
50033,Ardisa,1 año,2016,1
50033,Ardisa,2 años,2016,0.0
50033,Ardisa,3 años,2016,0.0
50033,Ardisa,4 años,2016,0.0
50033,Ardisa,5 años,2016,0.0
50033,Ardisa,6 años,2016,1
50033,Ardisa,7 años,2016,0.0
50033,Ardisa,8 años,2016,0.0
50033,Ardisa,9 años,2016,0.0
50033,Ardisa,10 años,2016,0.0
50033,Ardisa,11 años,2016,1
50033,Ardisa,12 años,2016,0.0
50033,Ardisa,13 años,2016,0.0
50033,Ardisa,14 años,2016,0.0
50033,Ardisa,15 años,2016,0.0
50033,Ardisa,16 años,2016,0.0
50033,Ardisa,17 años,2016,0.0
50033,Ardisa,18 años,2016,0.0
50034,Ariza,0 años,2016,3
50034,Ariza,1 año,2016,8
50034,Ariza,2 años,2016,8
50034,Ariza,3 años,2016,9
50034,Ariza,4 años,2016,7
50034,Ariza,5 años,2016,16
50034,Ariza,6 años,2016,14
50034,Ariza,7 años,2016,7
50034,Ariza,8 años,2016,25
50034,Ariza,9 años,2016,13
50034,Ariza,10 años,2016,15
50034,Ariza,11 años,2016,12
50034,Ariza,12 años,2016,12
50034,Ariza,13 años,2016,8
50034,Ariza,14 años,2016,12
50034,Ariza,15 años,2016,6
50034,Ariza,16 años,2016,13
50034,Ariza,17 años,2016,7
50034,Ariza,18 años,2016,3
50035,Artieda,0 años,2016,0.0
50035,Artieda,1 año,2016,0.0
50035,Artieda,2 años,2016,1
