cp,city,age,year,total
44036,Bea,10 años,2020,1
44036,Bea,11 años,2020,0.0
44036,Bea,12 años,2020,1
44036,Bea,13 años,2020,0.0
44036,Bea,14 años,2020,0.0
44036,Bea,15 años,2020,1
44036,Bea,16 años,2020,1
44036,Bea,17 años,2020,0.0
44036,Bea,18 años,2020,0.0
44037,Beceite,0 años,2020,3
44037,Beceite,1 año,2020,1
44037,Beceite,2 años,2020,0.0
44037,Beceite,3 años,2020,2
44037,Beceite,4 años,2020,6
44037,Beceite,5 años,2020,5
44037,Beceite,6 años,2020,6
44037,Beceite,7 años,2020,1
44037,Beceite,8 años,2020,4
44037,Beceite,9 años,2020,4
44037,Beceite,10 años,2020,6
44037,Beceite,11 años,2020,8
44037,Beceite,12 años,2020,4
44037,Beceite,13 años,2020,2
44037,Beceite,14 años,2020,3
44037,Beceite,15 años,2020,3
44037,Beceite,16 años,2020,2
44037,Beceite,17 años,2020,4
44037,Beceite,18 años,2020,7
44038,Belmonte de San José,0 años,2020,0.0
44038,Belmonte de San José,1 año,2020,3
44038,Belmonte de San José,2 años,2020,0.0
44038,Belmonte de San José,3 años,2020,2
44038,Belmonte de San José,4 años,2020,0.0
44038,Belmonte de San José,5 años,2020,0.0
44038,Belmonte de San José,6 años,2020,0.0
44038,Belmonte de San José,7 años,2020,0.0
44038,Belmonte de San José,8 años,2020,0.0
44038,Belmonte de San José,9 años,2020,1
44038,Belmonte de San José,10 años,2020,0.0
44038,Belmonte de San José,11 años,2020,2
44038,Belmonte de San José,12 años,2020,1
44038,Belmonte de San José,13 años,2020,0.0
44038,Belmonte de San José,14 años,2020,1
44038,Belmonte de San José,15 años,2020,2
44038,Belmonte de San José,16 años,2020,2
44038,Belmonte de San José,17 años,2020,1
44038,Belmonte de San José,18 años,2020,2
44039,Bello,0 años,2020,0.0
44039,Bello,1 año,2020,0.0
44039,Bello,2 años,2020,1
44039,Bello,3 años,2020,0.0
44039,Bello,4 años,2020,0.0
44039,Bello,5 años,2020,1
44039,Bello,6 años,2020,1
44039,Bello,7 años,2020,3
44039,Bello,8 años,2020,0.0
44039,Bello,9 años,2020,0.0
44039,Bello,10 años,2020,1
44039,Bello,11 años,2020,1
44039,Bello,12 años,2020,0.0
44039,Bello,13 años,2020,0.0
44039,Bello,14 años,2020,2
44039,Bello,15 años,2020,2
44039,Bello,16 años,2020,2
44039,Bello,17 años,2020,0.0
44039,Bello,18 años,2020,3
44040,Berge,0 años,2020,2
44040,Berge,1 año,2020,0.0
44040,Berge,2 años,2020,2
44040,Berge,3 años,2020,1
44040,Berge,4 años,2020,6
