nombre,provincia,slug,codigoINE,poblacion1900,poblacion2024,poblacion2014,variacion1900,perdidaAbsoluta,perdidaPorcentual,varUltimosAnios,porcentajeMayores,porcentajeMenores,densidad
Monforte de Moyuela,teruel,monforte-de-moyuela,44152,694,75,0,-89.19308357348703,619,89.19308357348703,0,36,4,0
Poleñino,huesca,polenino,22184,512,205,0,-59.9609375,307,59.9609375,0,35.9,8.6,0
Ansó,huesca,anso,22028,1549,413,0,-73.33763718528083,1136,73.33763718528083,0,35.8,8.7,0
Cimballa,zaragoza,cimballa,50082,512,80,0,-84.375,432,84.375,0,35.8,7.4,0
Gurrea de Gállego,huesca,gurrea-de-gallego,22119,1401,1427,0,1.8558172733761598,-26,-1.8558172733761598,0,35.8,10,0
Atea,zaragoza,atea,50037,1225,136,0,-88.89795918367346,1089,88.89795918367346,0,35.6,1.5,0
Tella-Sin,huesca,tella-sin,22227,717,217,0,-69.7350069735007,500,69.7350069735007,0,35.6,5.6,0
Jarque de la Val,teruel,jarque-de-la-val,44128,277,62,0,-77.6173285198556,215,77.6173285198556,0,35.5,3.2,0
Orrios,teruel,orrios,44175,430,119,0,-72.32558139534883,311,72.32558139534883,0,35.5,0.8,0
Litago,zaragoza,litago,50140,634,192,0,-69.71608832807571,442,69.71608832807571,0,35.4,4.7,0
Puente de Montañana,huesca,puente-de-montanana,22188,822,95,0,-88.44282238442823,727,88.44282238442823,0,35.4,8.3,0
Gea de Albarracín,teruel,gea-de-albarracin,44117,1168,467,0,-60.01712328767124,701,60.01712328767124,0,35.2,7.9,0
Jaulín,zaragoza,jaulin,50131,361,292,0,-19.113573407202217,69,19.113573407202217,0,35.2,8.2,0
Lalueza,huesca,lalueza,22136,867,868,0,0.11534025374855825,-1,-0.11534025374855825,0,35.2,6.6,0
Sigüés,zaragoza,sigues,50245,1638,70,0,-95.72649572649573,1568,95.72649572649573,0,35.2,9.9,0
Abejuela,teruel,abejuela,44002,698,57,0,-91.83381088825216,641,91.83381088825216,0,35.1,5.3,0
Bubierca,zaragoza,bubierca,50058,914,57,0,-93.7636761487965,857,93.7636761487965,0,35.1,1.8,0
Molinos,teruel,molinos,44151,1405,228,0,-83.77224199288256,1177,83.77224199288256,0,35.1,8.3,0
Ambel,zaragoza,ambel,50027,955,254,0,-73.40314136125654,701,73.40314136125654,0,35,8.7,0
Loarre,huesca,loarre,22149,1771,351,0,-80.18068887634105,1420,80.18068887634105,0,35,4.6,0
Salillas,huesca,salillas,22203,367,101,0,-72.47956403269755,266,72.47956403269755,0,35,9,0
Novillas,zaragoza,novillas,50191,908,502,0,-44.713656387665196,406,44.713656387665196,0,34.9,6,0
Barrachina,teruel,barrachina,44035,697,115,0,-83.50071736011478,582,83.50071736011478,0,34.8,7,0
Codo,zaragoza,codo,50085,1026,201,0,-80.4093567251462,825,80.4093567251462,0,34.8,5.5,0
Lascuarre,huesca,lascuarre,22142,581,135,0,-76.76419965576592,446,76.76419965576592,0,34.8,14.8,0
Perarrúa,huesca,perarrua,22177,689,112,0,-83.74455732946299,577,83.74455732946299,0,34.8,13.4,0
Clarés de Ribota,zaragoza,clares-de-ribota,50084,444,70,0,-84.23423423423422,374,84.23423423423422,0,34.7,2.8,0
Almonacid de la Cuba,zaragoza,almonacid-de-la-cuba,50023,667,233,0,-65.06746626686657,434,65.06746626686657,0,34.6,5.1,0
Gallocanta,zaragoza,gallocanta,50117,363,133,0,-63.36088154269972,230,63.36088154269972,0,34.6,7.7,0
Laluenga,huesca,laluenga,22135,794,207,0,-73.9294710327456,587,73.9294710327456,0,34.6,8.3,0
Torrehermosa,zaragoza,torrehermosa,50259,258,74,0,-71.31782945736434,184,71.31782945736434,0,34.6,5.1,0
Peralta de Alcofea,huesca,peralta-de-alcofea,22174,2207,587,0,-73.40280924331672,1620,73.40280924331672,0,34.5,7.5,0
Lécera,zaragoza,lecera,50136,1997,599,0,-70.00500751126691,1398,70.00500751126691,0,34.4,7.9,0
Lledó,teruel,lledo,44141,580,153,0,-73.62068965517241,427,73.62068965517241,0,34.4,8.3,0
Alloza,teruel,alloza,44022,1773,551,0,-68.92272983643542,1222,68.92272983643542,0,34.3,10.7,0
Laspuña,huesca,laspuna,22144,501,278,0,-44.510978043912175,223,44.510978043912175,0,34.3,9.7,0
Albelda,huesca,albelda,22009,1213,709,0,-41.54987633965375,504,41.54987633965375,0,34.2,9.7,0
Castellote,teruel,castellote,44071,5122,663,0,-87.05583756345177,4459,87.05583756345177,0,34.2,7.9,0
Cervera de la Cañada,zaragoza,cervera-de-la-canada,50079,904,259,0,-71.3495575221239,645,71.3495575221239,0,34.2,9.2,0
El Frasno,zaragoza,el-frasno,50110,1551,361,0,-76.72469374597034,1190,76.72469374597034,0,34.2,3.8,0
Moneva,zaragoza,moneva,50171,636,118,0,-81.44654088050315,518,81.44654088050315,0,34.2,7.5,0
Peracense,teruel,peracense,44180,385,74,0,-80.77922077922078,311,80.77922077922078,0,34.2,8.2,0
Crivillén,teruel,crivillen,44087,937,91,0,-90.2881536819637,846,90.2881536819637,0,34.1,8.8,0
Leciñena,zaragoza,lecinena,50137,1576,1090,0,-30.83756345177665,486,30.83756345177665,0,34.1,10.9,0
Torre de Arcas,teruel,torre-de-arcas,44223,485,82,0,-83.09278350515464,403,83.09278350515464,0,34.1,2.4,0
Alberuela de Tubo,huesca,alberuela-de-tubo,22013,238,283,0,18.907563025210084,-45,-18.907563025210084,0,34,6.4,0
Arándiga,zaragoza,arandiga,50032,1121,264,0,-76.44959857270295,857,76.44959857270295,0,34,8.3,0
Biscarrués,huesca,biscarrues,22063,810,187,0,-76.91358024691358,623,76.91358024691358,0,34,3.7,0
Cinco Olivas,zaragoza,cinco-olivas,50083,570,102,0,-82.10526315789474,468,82.10526315789474,0,34,5,0
Sos del Rey Católico,zaragoza,sos-del-rey-catolico,50248,3596,585,0,-83.73192436040044,3011,83.73192436040044,0,34,9.9,0
Alcalá del Obispo,huesca,alcala-del-obispo,22015,1328,372,0,-71.98795180722891,956,71.98795180722891,0,33.9,9.1,0
Allepuz,teruel,allepuz,44021,1040,124,0,-88.07692307692308,916,88.07692307692308,0,33.9,9.7,0
Argavieso,huesca,argavieso,22036,322,112,0,-65.21739130434783,210,65.21739130434783,0,33.9,14.3,0
Jabaloyas,teruel,jabaloyas,44127,934,63,0,-93.25481798715204,871,93.25481798715204,0,33.9,1.6,0
La Sotonera,huesca,la-sotonera,22904,3972,903,0,-77.26586102719033,3069,77.26586102719033,0,33.9,7.8,0
Luesia,zaragoza,luesia,50148,1573,331,0,-78.9574062301335,1242,78.9574062301335,0,33.9,6.5,0
Cortes de Aragón,teruel,cortes-de-aragon,44084,492,65,0,-86.78861788617887,427,86.78861788617887,0,33.8,6.2,0
Mozota,zaragoza,mozota,50180,378,130,0,-65.60846560846561,248,65.60846560846561,0,33.8,10.8,0
Palomar de Arroyos,teruel,palomar-de-arroyos,44176,612,160,0,-73.8562091503268,452,73.8562091503268,0,33.8,5.6,0
Villar de los Navarros,zaragoza,villar-de-los-navarros,50291,984,157,0,-84.04471544715447,827,84.04471544715447,0,33.8,8.9,0
Alberite de San Juan,zaragoza,alberite-de-san-juan,50010,267,84,0,-68.53932584269663,183,68.53932584269663,0,33.7,6,0
Alcubierre,huesca,alcubierre,22018,1530,400,0,-73.8562091503268,1130,73.8562091503268,0,33.7,10.3,0
Artieda,zaragoza,artieda,50035,269,86,0,-68.02973977695167,183,68.02973977695167,0,33.7,5.8,0
Peralejos,teruel,peralejos,44181,286,89,0,-68.88111888111888,197,68.88111888111888,0,33.7,13.5,0
Pozuelo de Aragón,zaragoza,pozuelo-de-aragon,50216,710,249,0,-64.92957746478874,461,64.92957746478874,0,33.7,6.4,0
Santa Cruz de Grío,zaragoza,santa-cruz-de-grio,50236,929,104,0,-88.80516684607105,825,88.80516684607105,0,33.7,5.8,0
Santa María de Dulcis,huesca,santa-maria-de-dulcis,22906,644,209,0,-67.54658385093167,435,67.54658385093167,0,33.7,7.7,0
Alfántega,huesca,alfantega,22021,2983,129,0,-95.67549446865571,2854,95.67549446865571,0,33.6,8.4,0
Erla,zaragoza,erla,50100,911,371,0,-59.27552140504939,540,59.27552140504939,0,33.6,11.3,0
Estada,huesca,estada,22102,524,214,0,-59.16030534351145,310,59.16030534351145,0,33.6,8.4,0
Ibdes,zaragoza,ibdes,50125,1251,372,0,-70.26378896882494,879,70.26378896882494,0,33.6,7.7,0
Villalengua,zaragoza,villalengua,50287,1384,289,0,-79.11849710982659,1095,79.11849710982659,0,33.6,7.6,0
