porcentaje18,year,cp,name,population,percentage65
,1910,50901,Biel,1735,
,1910,50902,Marracos,182,
,1910,50903,Villamayor de Gállego,1870,
,1920,50001,Abanto,769,
,1920,50002,Acered,798,
,1920,50003,Agón,422,
,1920,50004,Aguarón,2264,
,1920,50005,Aguilón,1198,
,1920,50006,Ainzón,1796,
,1920,50007,Aladrén,290,
,1920,50008,Alagón,4749,
,1920,50009,Alarba,380,
,1920,50010,Alberite de San Juan,247,
,1920,50011,Albeta,289,
,1920,50012,Alborge,374,
,1920,50013,Alcalá de Ebro,547,
,1920,50014,Alcalá de Moncayo,423,
,1920,50015,Alconchel de Ariza,759,
,1920,50016,Aldehuela de Liestos,338,
,1920,50017,Alfajarín,1358,
,1920,50018,Alfamén,881,
,1920,50019,Alforque,415,
,1920,50020,Alhama de Aragón,1911,
,1920,50021,Almochuel,158,
,1920,50022,Almolda (La),1273,
,1920,50023,Almonacid de la Cuba,775,
,1920,50024,Almonacid de la Sierra,2076,
,1920,50025,Almunia de Doña Godina (La),4199,
,1920,50026,Alpartir,1116,
,1920,50027,Ambel,940,
,1920,50028,Anento,341,
,1920,50029,Aniñón,1684,
,1920,50030,Añón de Moncayo,1101,
,1920,50031,Aranda de Moncayo,1437,
,1920,50032,Arándiga,1184,
,1920,50033,Ardisa,509,
,1920,50034,Ariza,2448,
,1920,50035,Artieda,280,
,1920,50036,Asín,430,
,1920,50037,Atea,1035,
,1920,50038,Ateca,3096,
,1920,50039,Azuara,2872,
,1920,50040,Badules,385,
,1920,50041,Bagüés,233,
,1920,50042,Balconchán,165,
,1920,50043,Bárboles,753,
,1920,50044,Bardallur,752,
,1920,50045,Belchite,3469,
,1920,50046,Belmonte de Gracián,997,
,1920,50047,Berdejo,316,
,1920,50048,Berrueco,257,
,1920,50050,Bijuesca,896,
,1920,50051,Biota,1764,
,1920,50052,Bisimbre,212,
,1920,50053,Boquiñeni,1022,
,1920,50054,Bordalba,548,
,1920,50055,Borja,5093,
,1920,50056,Botorrita,408,
,1920,50057,Brea de Aragón,1484,
,1920,50058,Bubierca,665,
,1920,50059,Bujaraloz,1481,
,1920,50060,Bulbuente,853,
,1920,50061,Bureta,660,
,1920,50062,Burgo de Ebro (El),1070,
,1920,50063,Buste (El),452,
,1920,50064,Cabañas de Ebro,669,
,1920,50065,Cabolafuente,707,
,1920,50066,Cadrete,674,
,1920,50067,Calatayud,12574,
,1920,50068,Calatorao,3488,
,1920,50069,Calcena,1076,
,1920,50070,Calmarza,436,
,1920,50071,Campillo de Aragón,753,
,1920,50072,Carenas,989,
,1920,50073,Cariñena,3448,
,1920,50074,Caspe,9259,
,1920,50075,Castejón de Alarba,321,
,1920,50076,Castejón de las Armas,598,
,1920,50077,Castejón de Valdejasa,1049,
,1920,50078,Castiliscar,943,
,1920,50079,Cervera de la Cañada,1028,
,1920,50080,Cerveruela,386,
,1920,50081,Cetina,2064,
,1920,50082,Cimballa,485,
,1920,50083,Cinco Olivas,482,
,1920,50084,Clarés de Ribota,498,
,1920,50085,Codo,1163,
,1920,50086,Codos,982,
,1920,50087,Contamina,244,
,1920,50088,Cosuenda,1127,
,1920,50089,Cuarte de Huerva,295,
,1920,50090,Cubel,618,
,1920,50091,Cuerlas (Las),375,
,1920,50092,Chiprana,1433,
,1920,50093,Chodes,584,
,1920,50094,Daroca,3669,
,1920,50095,Ejea de los Caballeros,7829,
,1920,50096,Embid de Ariza,574,
,1920,50098,Encinacorba,891,
,1920,50099,Épila,5466,
,1920,50100,Erla,1104,
,1920,50101,Escatrón,2140,
,1920,50102,Fabara,2265,
,1920,50104,Farlete,528,
,1920,50105,Fayón,1750,
,1920,50106,Fayos (Los),538,
,1920,50107,Figueruelas,504,
,1920,50108,Fombuena,266,
,1920,50109,Frago (El),575,
,1920,50110,Frasno (El),1504,
,1920,50111,Fréscano,440,
,1920,50113,Fuendejalón,1483,
,1920,50114,Fuendetodos,623,
,1920,50115,Fuentes de Ebro,2974,
,1920,50116,Fuentes de Jiloca,1162,
