municipio,cp,superficie,densidad,posicion
Muel,50181,79.17,16.83,613
La Muela,50182,143.49,38.18,614
Munébrega,50183,40.99,9.39,615
Murero,50184,18.25,5.86,616
Murillo de Gállego,50185,54.71,3.18,617
Navardún,50186,24,1.66,618
NigÃ¼ella,50187,30.42,2.16,619
Nombrevilla,50188,17.56,1.65,620
Nonaspe,50189,111.45,8.63,621
Novallas,50190,11,77.27,622
Novillas,50191,25.28,21.36,623
Nuévalos,50192,41.84,7.76,624
Nuez de Ebro,50193,8.21,100.73,625
Olvés,50194,20.18,5.25,626
Orcajo,50195,28.45,2.07,627
Orera,50196,19.82,5.95,628
Orés,50197,54.52,1.90,629
Oseja,50198,12,4.33,630
Osera de Ebro,50199,24.56,16.08,631
Paniza,50200,47.31,13.40,632
Paracuellos de Jiloca,50201,32,18.78,633
Paracuellos de La Ribera,50202,32,4.93,634
Pastriz,50203,16.52,78.26,635
Pedrola,50204,113.74,30.85,636
Las Pedrosas,50205,18.26,4.92,637
Perdiguera,50206,109.77,5.25,638
Piedratajada,50207,22.66,4.28,639
Pina de Ebro,50208,309.17,7.67,640
Pinseque,50209,16.09,242.88,641
Los Pintanos,50210,79.64,0.46,642
Plasencia de JalÃ³n,50211,34.77,8.71,643
Pleitas,50212,2.14,16.82,644
Plenas,50213,37.95,2.66,645
Pomer,50214,33.11,0.66,646
Pozuel de Ariza,50215,22.63,0.92,647
Pozuelo de Aragón,50216,32.11,8.84,648
Pradilla de Ebro,50217,25.45,22.55,649
Puebla de Albortón,50218,76.31,1.57,650
La Puebla de Alfindén,50219,17.03,362.47,651
Puendeluna,50220,9.88,4.45,652
Purujosa,50221,35.43,1.01,653
Quinto,50222,118.26,16.47,654
Remolinos,50223,18.51,58.40,655
Retascón,50224,25.16,2.94,656
Ricla,50225,90.67,31.04,657
Romanos,50227,19.53,6.09,658
Rueda de Jalón,50228,107.37,3.02,659
Ruesca,50229,11.63,6.19,660
Sádaba,50230,129.55,10.21,661
Salillas de Jalón,50231,2.51,121.11,662
Salvatierra de Esca,50232,81.24,2.43,663
Samper del Salz,50233,11.49,9.74,664
San Martín de La Virgen de Moncayo,50234,5.42,52.76,665
San Mateo de Gállego,50235,71.62,43.75,666
Santa Cruz de GrÃ­o,50236,19.51,5.53,667
Santa Cruz de Moncayo,50237,19.51,6.40,668
Santa Eulalia de Gállego,50238,80.97,1.21,669
Santed,50239,17.81,3.42,670
Sástago,50240,300.98,3.88,671
Saviñan,50241,15.52,44.52,672
Sediles,50242,11.71,8.11,673
Sestrica,50243,40.88,9.05,674
Sierra de Luna,50244,43.39,5.83,675
Sigüés,50245,101.77,0.86,676
Sisamón,50246,41.55,0.74,677
Sobradiel,50247,12.06,90.29,678
