Sexo,Municipios,Edad (año a año),Periodo,Total
Total,22022 Almunia de San Juan,62 años,2017,11
Total,22022 Almunia de San Juan,63 años,2017,12
Total,22022 Almunia de San Juan,64 años,2017,14
Total,22022 Almunia de San Juan,65 años,2017,11
Total,22023 Almuniente,41 años,2017,6
Total,22023 Almuniente,42 años,2017,4
Total,22023 Almuniente,43 años,2017,9
Total,22023 Almuniente,44 años,2017,2
Total,22023 Almuniente,45 años,2017,8
Total,22023 Almuniente,46 años,2017,10
Total,22023 Almuniente,47 años,2017,7
Total,22023 Almuniente,48 años,2017,3
Total,22023 Almuniente,49 años,2017,4
Total,22023 Almuniente,50 años,2017,4
Total,22023 Almuniente,51 años,2017,8
Total,22023 Almuniente,52 años,2017,3
Total,22023 Almuniente,53 años,2017,3
Total,22023 Almuniente,54 años,2017,8
Total,22023 Almuniente,55 años,2017,8
Total,22023 Almuniente,56 años,2017,5
Total,22023 Almuniente,57 años,2017,10
Total,22023 Almuniente,58 años,2017,13
Total,22023 Almuniente,59 años,2017,3
Total,22023 Almuniente,60 años,2017,8
Total,22023 Almuniente,61 años,2017,3
Total,22023 Almuniente,62 años,2017,10
Total,22023 Almuniente,63 años,2017,7
Total,22023 Almuniente,64 años,2017,11
Total,22023 Almuniente,65 años,2017,8
Total,22024 Alquézar,41 años,2017,11
Total,22024 Alquézar,42 años,2017,4
Total,22024 Alquézar,43 años,2017,2
Total,22024 Alquézar,44 años,2017,3
Total,22024 Alquézar,45 años,2017,6
Total,22024 Alquézar,46 años,2017,1
Total,22024 Alquézar,47 años,2017,5
Total,22024 Alquézar,48 años,2017,4
Total,22024 Alquézar,49 años,2017,3
Total,22024 Alquézar,50 años,2017,10
Total,22024 Alquézar,51 años,2017,8
Total,22024 Alquézar,52 años,2017,4
Total,22024 Alquézar,53 años,2017,3
Total,22024 Alquézar,54 años,2017,6
Total,22024 Alquézar,55 años,2017,6
Total,22024 Alquézar,56 años,2017,4
Total,22024 Alquézar,57 años,2017,6
Total,22024 Alquézar,58 años,2017,4
Total,22024 Alquézar,59 años,2017,7
Total,22024 Alquézar,60 años,2017,7
Total,22024 Alquézar,61 años,2017,2
Total,22024 Alquézar,62 años,2017,5
Total,22024 Alquézar,63 años,2017,5
Total,22024 Alquézar,64 años,2017,7
Total,22024 Alquézar,65 años,2017,4
Total,22025 Altorricón,41 años,2017,28
Total,22025 Altorricón,42 años,2017,24
Total,22025 Altorricón,43 años,2017,14
Total,22025 Altorricón,44 años,2017,15
Total,22025 Altorricón,45 años,2017,25
Total,22025 Altorricón,46 años,2017,18
Total,22025 Altorricón,47 años,2017,17
Total,22025 Altorricón,48 años,2017,25
Total,22025 Altorricón,49 años,2017,20
Total,22025 Altorricón,50 años,2017,24
Total,22025 Altorricón,51 años,2017,17
Total,22025 Altorricón,52 años,2017,28
Total,22025 Altorricón,53 años,2017,19
Total,22025 Altorricón,54 años,2017,18
Total,22025 Altorricón,55 años,2017,24
Total,22025 Altorricón,56 años,2017,19
Total,22025 Altorricón,57 años,2017,17
Total,22025 Altorricón,58 años,2017,15
Total,22025 Altorricón,59 años,2017,12
Total,22025 Altorricón,60 años,2017,13
Total,22025 Altorricón,61 años,2017,16
Total,22025 Altorricón,62 años,2017,18
Total,22025 Altorricón,63 años,2017,10
Total,22025 Altorricón,64 años,2017,20
Total,22025 Altorricón,65 años,2017,21
Total,22027 Angüés,41 años,2017,8
Total,22027 Angüés,42 años,2017,5
Total,22027 Angüés,43 años,2017,5
Total,22027 Angüés,44 años,2017,5
Total,22027 Angüés,45 años,2017,2
Total,22027 Angüés,46 años,2017,5
Total,22027 Angüés,47 años,2017,7
Total,22027 Angüés,48 años,2017,3
Total,22027 Angüés,49 años,2017,4
Total,22027 Angüés,50 años,2017,2
Total,22027 Angüés,51 años,2017,2
Total,22027 Angüés,52 años,2017,5
Total,22027 Angüés,53 años,2017,3
Total,22027 Angüés,54 años,2017,4
Total,22027 Angüés,55 años,2017,8
